name,brand,price,store,imgLink,productLink,storeImgLink
"dell lnspirion 15 g5 5515 r5-5600h (6-core12thread) 8gb-256gb-rtx 3050 4gb gddr615.6""120hz250nits fpr-backlitkb-ws11phantom grey",dell,124000,daraz,https://static-01.daraz.com.np/p/62841a7552c2b75b3b3bc674db39b9ce.png,//www.daraz.com.np/products/dell-lnspirion-15-g5-5515-r5-5600h-6-core12thread8gb-256gb-rtx-3050-4gb-gddr6156120hz250nits-fpr-backlitkb-ws11phantom-grey-i115732391-s1031654407.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 3515 r7-3700u-8gb-512gb-15.6""fhd-radeon(tm) graphics-win11-black(backpack)",dell,95000,daraz,https://static-01.daraz.com.np/p/84888fdd55bd839626a8c0d4b4ad29ff.jpg,//www.daraz.com.np/products/dell-inspiron-3515-r7-3700u-8gb-512gb-156fhd-radeontm-graphics-win11-blackbackpack-i115731291-s1031620771.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell lnspiron 15 3505 r7-3700u-8gb-512gb-amd radeon -fhd-ws10-accent black,dell,90000,daraz,https://static-01.daraz.com.np/p/a3ab88b2d4d415763b8f048b3e0a2773.jpg,//www.daraz.com.np/products/dell-lnspiron-15-3505-r7-3700u-8gb-512gb-amd-radeon-fhd-ws10-accent-black-i115731290-s1031620770.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell lnspirion15 3501- i5-1135g7-4gb-1tb-ws10 fhd- nvidia mx350 2gb gddr5 black,dell,85000,daraz,https://static-01.daraz.com.np/p/0f87019fe2a17e7e0233bd5207db2e8d.jpg,//www.daraz.com.np/products/dell-lnspirion15-3501-i5-1135g7-4gb-1tb-ws10-fhd-nvidia-mx350-2gb-gddr5-black-i115726812-s1031623977.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell lnspirion 15  g5- i7-11800h-8gb -512gb-15.6"" 120hz 250nits-rtx 3050 4gb-ws11 (backpack)",dell,164000,daraz,https://static-01.daraz.com.np/p/fa429e73b24b2d1503bde2a0c4b0df44.png,//www.daraz.com.np/products/dell-lnspirion-15-g5-i7-11800h-8gb-512gb-156-120hz-250nits-rtx-3050-4gb-ws11-backpack-i115722709-s1031660153.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell lnspirion 15 g5- i7-11800h-16gb(8x2)-512gb -15.6"" 120hz 250nits-rtx 3050ti- 4gb-ws11 (backpack)",dell,172000,daraz,https://static-01.daraz.com.np/p/fa429e73b24b2d1503bde2a0c4b0df44.png,//www.daraz.com.np/products/dell-lnspirion-15-g5-i7-11800h-16gb8x2-512gb-156-120hz-250nits-rtx-3050ti-4gb-ws11-backpack-i115721736-s1031622713.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell lnspiron 15 5510 i5-11320h-8gb(4gb*2)-512gb 15.6""fhd-lntel irisxe-fpr-ws10-silver (backpack)",dell,112000,daraz,https://static-01.daraz.com.np/p/43add924f4fc881b4a2a23a091daadc7.jpg,//www.daraz.com.np/products/dell-lnspiron-15-5510-i5-11320h-8gb4gb2-512gb156fhd-lntel-irisxe-fpr-ws10-silver-backpack-i115721735-s1031622712.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell lnspirion 15 g5 5515  r7-5800h-(8core16thread) 16gb(8gbx2)-512gb-rtx 3050ti 4gb gddr6 15.6"" 120hz 250nits-fpr-backlitkb-ws11(backpack) phantom grey",dell,169000,daraz,https://static-01.daraz.com.np/p/ce1885b15ee916161425ace0e988658f.png,//www.daraz.com.np/products/dell-lnspirion-15-g5-5515-r7-5800h-8core16thread16gb8gbx2-512gb-rtx-3050ti-4gb-gddr6156-120hz-250nits-fpr-backlitkb-ws11backpack-phantom-grey-i115719875-s1031648414.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell lnspiron 15 3505 r7-3700u-8gb-512gb-amd radeon -fhd-ws10-accent soft mint,dell,90000,daraz,https://static-01.daraz.com.np/p/a3ab88b2d4d415763b8f048b3e0a2773.jpg,//www.daraz.com.np/products/dell-lnspiron-15-3505-r7-3700u-8gb-512gb-amd-radeon-fhd-ws10-accent-soft-mint-i115719871-s1031648412.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
"dell inspiron 13 5310 i5-11300h-8gb-512gb 13.3""qhd(2560x1600p)-intel iris xe-fpr-backlitkb ws11h-slv (sleeve)",dell,121000,daraz,https://static-01.daraz.com.np/p/43add924f4fc881b4a2a23a091daadc7.jpg,//www.daraz.com.np/products/dell-inspiron-13-5310-i5-11300h-8gb-512gb133qhd2560x1600p-intel-iris-xe-fpr-backlitkbws11h-slv-sleeve-i115717844-s1031656229.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
dell inspiron 15 3511  i5 1135g7  8gb  5112ssd  nvidia mx 350 2gb gddr5  fhd  office 2019,dell,109900,daraz,https://static-01.daraz.com.np/p/8ac6da5969071680442515b6ee88b5f0.jpg,//www.daraz.com.np/products/dell-inspiron-15-3511-i5-1135g7-8gb-5112ssd-nvidia-mx-350-2gb-gddr5-fhd-office-2019-i113798239-s1030945132.html?search=1,https://superdesk-pro-c.s3.amazonaws.com/sd-nepalitimes/20221109141144/636baf8d9c7e80680e078059png.png
